ropf,"Hello, BDSA students!",1690891760
rnie,"Welcome to the course!",1690978778
rnie,"I hope you had a good summer.",1690979858
ropf,"Cheeping cheeps on Chirp :)",1690981487
edwardrostomian,"Tester",1693556911
edwardrostomian,"Tester",1693556997
thorh,"hey test 6",1693558041
thorh,"hey test 6",1693558110
thorh,"cheephey test 6",1693558144
thorh,"hey test 6",1693558184
thorh,"hey test 6",1693558334
thorh,"heytest6",1693558341
thorh,"System.Collections.ArrayList",1693733801
thorh,"System.Collections.ArrayList",1693733974
thorh,"TESTTESTER8",1693734814
thorh,"TESTTESTER 8",1693734839
thorh,"TESTTESTER 8",1693734846
thorh,"423421",1694178396
thorh,"423421",1694178528
thorh,"423421",1694178901
thorh,"42134",1694179755
thorh,"4521354213",1694179940
